genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Acalypha,marissima,Acalypha marissima,Euphorbiaceae,correct,EN,confident,1900-2050,1900,2050,1975,150,NA,NA,87,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthopale,aethiogermanica,Acanthopale aethiogermanica,Acanthaceae,correct,VU,confident,1600-2600,1600,2600,2100,1000,NA,NA,53938,text,52,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthus,sennii,Acanthus sennii,Acanthaceae,over,LC,confident,1700-3200,1700,3200,2450,1500,"AR, BA, GG, GJ, GD, HA, KF, SU, SD, WU",text,282400,text,324,text,yes,not present,present,present,present,present,present,present,not present,present,present,present,not present,not present,present,10,1
Adenia,pulchra,Adenia pulchra,Passifloraceae,correct,CR,confident,1520-1640,1520,1640,1580,120,NA,NA,12,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenia,gedoensis,Adenia gedoensis,Passifloraceae,correct,CR,confident,1800-2000,1800,2000,1900,200,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeollanthus,abyssinicus,Aeollanthus abyssinicus,Lamiaceae,correct,LC,low_confidence,1600-3100,1600,3100,2350,1500,NA,NA,158891,text,56,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene,ruspoliana,Aeschynomene ruspoliana,Fabaceae,correct,CR,low_confidence,2000,2000,2000,2000,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afroligusticum,mattirolii,Afroligusticum mattirolii,Apiaceae,over,NT,confident,1400-3540,1400,3540,2470,2140,"AR, BA, HA, SU",text,65877,text,68,text,yes,not present,present,present,not present,not present,not present,present,not present,not present,not present,present,not present,not present,not present,4,1
Afroligusticum,petitianum,Afroligusticum petitianum,Apiaceae,correct,NT,low_confidence,1750-3350,1750,3350,2550,1600,NA,NA,166147.5,text,82,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afroligusticum,piovanii,Carum piovanii,Apiaceae,correct,EN,confident,2200-2700,2200,2700,2450,500,NA,NA,3236,text,48,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrosciadium,abyssinicum,Peucedanum abyssinicum,Apiaceae,correct,VU,low_confidence,2100-3000,2100,3000,2550,900,NA,NA,59408,text,28,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afrovivella,semiensis,Afrovivella semiensis,Crassulaceae,under,EN,confident,3600-4200,3600,4200,3900,600,GD,mapped,236,text,28,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
Alchemilla,bachiti,Alchemilla bachiti,Rosaceae,correct,EN,confident,3600-4000,3600,4000,3800,400,NA,NA,761,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alchemilla,haumanii,Alchemilla haumanii,Rosaceae,over,LC,confident,3000-4250,3000,4250,3625,1250,"AR, BA, GG",text,21764,text,120,text,yes,not present,present,present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,3,1
Aloe,ankoberensis,Aloe ankoberensis,Asphodelaceae,correct,EN,confident,3000-3500,3000,3500,3250,500,NA,NA,205,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,debrana,Aloe debrana,Asphodelaceae,over,LC,confident,2000-2700,2000,2700,2350,700,"GJ, SU, WU",text,32150,text,108,geocat (RL points),yes,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,present,not present,not present,present,3,1
Aloe,elkerriana,Aloe elkerriana,Asphodelaceae,over,LC,confident,1000,1000,1000,1000,0,BA,text,4,text,4,text,no,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,1
Aloe,friisii,Aloe friisii,Asphodelaceae,correct,EN,confident,600-1600,600,1600,1100,1000,NA,NA,8,infer (only 2 points),8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,ghibensis,Aloe ghibensis,Asphodelaceae,correct,CR,confident,1365-1720,1365,1720,1542.5,355,NA,NA,12,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,harlana,Aloe harlana,Asphodelaceae,correct,EN,confident,1500-2100,1500,2100,1800,600,NA,NA,2300,text,36,geocat (GBIF points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,kefaensis,Aloe kefaensis,Asphodelaceae,correct,EN,confident,1750-2100,1750,2100,1925,350,NA,NA,3001,text,41,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,monticola,Aloe monticola,Asphodelaceae,correct,EN,confident,2350-2550,2350,2550,2450,200,NA,NA,2300,text,16,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,pubescens,Aloe pubescens,Asphodelaceae,over,NT,confident,1800-2550,1800,2550,2175,750,"HA, SU",text,27400,text,14300,text,no,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,present,not present,not present,not present,2,1
Aloe,pulcherrima,Aloe pulcherrima,Asphodelaceae,correct,VU,confident,2440-2750,2440,2750,2595,310,NA,NA,9100,text,20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,schelpei,Aloe schelpei,Asphodelaceae,correct,EN,confident,1700-2470,1700,2470,2085,770,NA,NA,581,text,12,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,sinana,Aloe sinana,Asphodelaceae,correct,EN,confident,1250-2100,1250,2100,1675,850,NA,NA,4900,text,20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,tewoldei,Aloe tewoldei,Asphodelaceae,over,NT,confident,1100,1100,1100,1100,0,"BA, HA",text,11500,text,12,geocat (RL points),no,not present,not present,present,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,4,1
Aloe,yavellana,Aloe yavellana,Asphodelaceae,correct,EN,confident,1600-1950,1600,1950,1775,350,NA,NA,4850,text,32,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,benishangulana,Aloe benishangulana,Asphodelaceae,correct,CR,confident,1490-1500,1490,1500,1495,10,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,otallensis,Aloe otallensis,Asphodelaceae,correct,LC,low_confidence,1200-1600,1200,1600,1400,400,NA,NA,17700,text,72,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,gilbertii,Aloe gilbertii,Asphodelaceae,over,LC,confident,1200-1900,1200,1900,1550,700,"GG, SU, SD",text,20025,text,60,geocat (RL points),yes,not present,not present,not present,not present,present,not present,not present,not present,not present,present,present,not present,not present,not present,3,1
Aloe,downsiana,Aloe downsiana,Asphodelaceae,correct,CR,confident,2175,2175,2175,2175,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,omoana,Aloe omoana,Asphodelaceae,correct,CR,confident,1840,1840,1840,1840,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aloe,trigonantha,Aloe trigonantha,Asphodelaceae,correct,EN,confident,1900-2500,1900,2500,2200,600,NA,NA,9837,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopecurus,baptarrhenius,Alopecurus baptarrhenius,Poaceae,correct,EN,low_confidence,3600-4200,3600,4200,3900,600,NA,NA,19150,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amorphophallus,gomboczianus,Amorphophallus gomboczianus,Araceae,correct,VU,confident,1700-2200,1700,2200,1950,500,NA,NA,28562,text,44,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrachne,ephemera,Andrachne ephemera,Phyllanthaceae,correct,EN,confident,1000-1600,1000,1600,1300,600,NA,NA,73649,text,28,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthericum,neghellense,Anthericum neghellense,Asparagaceae,correct,VU,confident,1050-1700,1050,1700,1375,650,NA,NA,26432,text,64,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthoxanthum,aethiopicum,Anthoxanthum aethiopicum,Poaceae,correct,EN,confident,2700-4500,2700,4500,3600,1800,NA,NA,9320,text,56,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrolobium,schimperianum,Argyrolobium schimperianum,Fabaceae,correct,NT,confident,2100-3500,2100,3500,2800,1400,NA,NA,49150,text,48,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arisaema,mooneyanum,Arisaema mooneyanum,Araceae,correct,VU,confident,2000-3450,2000,3450,2725,1450,NA,NA,33429,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemisia,schimperi,Artemisia schimperi,Asteraceae,correct,VU,low_confidence,3200-4100,3200,4100,3650,900,NA,NA,48702,text,84,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asclepias,pseudofimbriata,Asclepias pseudofimbriata,Apocynaceae,correct,EN,confident,2650-2800,2650,2800,2725,150,NA,NA,569,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asclepias,minutiflora,Asclepias minutiflora,Apocynaceae,correct,VU,confident,1650-1800,1650,1800,1725,150,NA,NA,8540,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asystasia,ammophila,Asystasia ammophila,Acanthaceae,correct,VU,confident,1170-2900,1170,2900,2035,1730,NA,NA,26782,text,44,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athroisma,boranense,Athroisma boranense,Asteraceae,over,NT,confident,1400-1950,1400,1950,1675,550,SD,text,23519,text,64,text,no,not present,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,1,1
Baccharoides,filigera,Vernonia filigera,Asteraceae,over,LC,low_confidence,1935-2850,1935,2850,2392.5,915,"AR, GG, GD, GJ, KF, SU, SD, TU, WG, WU",mapped,199292,text,116,text,yes,not present,present,not present,present,present,present,not present,not present,present,present,present,present,present,present,10,1
Barleria,ferox,Barleria ferox,Acanthaceae,correct,EN,confident,1400-1600,1400,1600,1500,200,NA,NA,1348,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barleria,gidoleensis,Barleria gidoleensis,Acanthaceae,correct,EN,confident,1400-2000,1400,2000,1700,600,NA,NA,1927,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barleria,longissima,Barleria longissima,Acanthaceae,correct,EN,low_confidence,1750-1850,1750,1850,1800,100,NA,NA,8,infer (only 2 points),8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barleria,negeleensis,Barleria negeleensis,Acanthaceae,correct,EN,confident,1400-1700,1400,1700,1550,300,NA,NA,2117,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barleria,baluganii,Barleria baluganii,Acanthaceae,over,NT,confident,1100-2200,1100,2200,1650,1100,"IL, KF, WG",text,39934,text,80,text,yes,not present,not present,not present,not present,not present,not present,not present,present,present,not present,not present,not present,present,not present,3,1
Berkheya,chiesiana,Berkheya chiesiana,Asteraceae,over,LC,confident,1300-2000,1300,2000,1650,700,"GJ, HA, IL, KF, SD, SU, WG",text,81877,text,56,text,yes,not present,not present,not present,not present,not present,present,present,present,present,present,present,not present,present,not present,7,1
Bidens,zavattarii,Bidens zavattarii,Asteraceae,correct,VU,confident,1900-2100,1900,2100,2000,200,NA,NA,19415,text,56,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bidens,mesfinii,Bidens mesfinii,Asteraceae,correct,CR,confident,2250,2250,2250,2250,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bidens,pachyloma,Bidens pachyloma,Asteraceae,over,LC,confident,2200-3300,2200,3300,2750,1100,"AR, GG, GD, GJ, KF, SU, SD, TU, WG, WU",mapped,210810,text,20,geocat (GBIF points),yes,not present,present,not present,present,present,present,not present,not present,present,present,present,present,present,present,10,1
Bidens,ghedoensis,Bidens ghedoensis,Asteraceae,over,LC,confident,1380-2600,1380,2600,1990,1220,"GG, IL, KF, SD, SU, WG",text,96283,text,104,text,yes,not present,not present,not present,not present,present,not present,not present,present,present,present,present,not present,present,not present,6,1
Blepharis,gypsophila,Blepharis gypsophila,Acanthaceae,correct,VU,confident,280-320,280,320,300,40,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boswellia,ogadensis,Boswellia ogadensis,Burseraceae,correct,CR,confident,300-400,300,400,350,100,NA,NA,583,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boswellia,pirottae,Boswellia pirottae,Burseraceae,correct,VU,low_confidence,1200-1800,1200,1800,1500,600,NA,NA,155668,text,80,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brillantaisia,grottanellii,Brillantaisia grottanellii,Acanthaceae,over,LC,confident,1100-2400,1100,2400,1750,1300,"GG, GJ, GD, IL, KF, SD, WG",text,181854,text,104,text,yes,not present,not present,not present,present,present,present,not present,present,present,present,not present,not present,present,not present,7,1
Callitriche,favargera,Callitriche favargera,Plantaginaceae,correct,VU,confident,3800-4250,3800,4250,4025,450,NA,NA,7076,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitriche,hedbergiorum,Callitriche hedbergiorum,Plantaginaceae,correct,VU,confident,3650-3950,3650,3950,3800,300,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caralluma,wilhelmii,Caralluma wilhelmii,Apocynaceae,correct,CR,confident,477-570,477,570,523.5,93,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carduus,macracanthus,Carduus macracanthus,Asteraceae,over,LC,confident,3950-4000,3950,4000,3975,50,"AR, BA, GD, TU",text,12629,text,56,text,yes,not present,present,present,present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,4,1
Cenchrus,thulinii,Cenchrus thulinii,Poaceae,correct,CR,confident,2200,2200,2200,2200,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cenchrus,nanus,Pennisetum humile,Poaceae,correct,NT,low_confidence,2800-400,2800,4000,3400,1200,NA,NA,127323,text,72,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cenchrus,uliginosus,Pennisetum uliginosum,Poaceae,under,EN,low_confidence,2500,2500,2500,2500,0,"GD, SU",text,54,text,8,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,2,0
Ceropegia,gypsophila,Ceropegia gypsophila,Apocynaceae,correct,CR,confident,550,550,550,550,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,kaariyei,Ceropegia kaariyei,Apocynaceae,correct,CR,confident,570,570,570,570,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,ellenbeckii,Ceropegia ellenbeckii,Apocynaceae,correct,CR,confident,2400-2500,2400,2500,2450,100,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,inflata,Ceropegia inflata,Apocynaceae,correct,EN,confident,900-1650,900,1650,1275,750,NA,NA,8,infer (only 2 points),8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,loranthiflora,Ceropegia loranthiflora,Apocynaceae,correct,VU,low_confidence,1900-2100,1900,2100,2000,200,NA,NA,13101,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,microgaster,Ceropegia microgaster,Apocynaceae,correct,VU,confident,1900-2000,1900,2000,1950,100,NA,NA,7136,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,recurvata,Ceropegia recurvata,Apocynaceae,correct,VU,confident,1330-2250,1330,2250,1790,920,NA,NA,16360,text,14,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,pseudorhynchantha,Ceropegia pseudorhynchantha,Apocynaceae,over,NT,confident,1300-1600,1300,1600,1450,300,"AR, BA, HA",text,28675,text,16,infer,yes,not present,present,present,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,3,1
Ceropegia,marronina,Ceropegia marronina,Apocynaceae,over,LC,confident,1300,1300,1300,1300,0,TU,text,4,infer,4,text,no,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,1,1
Ceropegia,sobolifera,Ceropegia sobolifera,Apocynaceae,correct,EN,low_confidence,2700-3500,2700,3500,3100,800,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia,aristolochioides,Ceropegia burgeri,Apocynaceae,under,EN,confident,1200-1500,1200,1500,1350,300,"GG, HA",text,39056,text,218,text,yes,not present,not present,not present,not present,present,not present,present,not present,not present,not present,not present,not present,not present,not present,2,0
Chiliocephalum,tegetum,Chiliocephalum tegetum,Asteraceae,correct,EN,confident,2400-3600,2400,3600,3000,1200,NA,NA,50580,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiliocephalum,schimperi,Chiliocephalum schimperi,Asteraceae,over,NT,low_confidence,2500-3500,2500,3500,3000,1000,"TU, BA",text,89566,text,46,text,yes,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,9,1
Chionothrix,latifolia,Chionothrix latifolia,Amaranthaceae,over,LC,low_confidence,700-1750,700,1750,1225,1050,"AF, BA, HA, SD",text,309514,text,156,text,yes,present,not present,present,not present,not present,not present,present,not present,not present,present,not present,not present,not present,not present,4,1
Chlorophytum,herrmannii,Chlorophytum herrmannii,Asparagaceae,correct,CR,confident,1400-1500,1400,1500,1450,100,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophytum,pseudocaule,Chlorophytum pseudocaule,Asparagaceae,correct,CR,confident,1430-1560,1430,1560,1495,130,NA,NA,8,infer (only 2 points),8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophytum,serpens,Chlorophytum serpens,Asparagaceae,correct,EN,confident,1100-1460,1100,1460,1280,360,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophytum,mamillatum,Chlorophytum mamillatum,Asparagaceae,correct,EN,confident,1500-1600,1500,1600,1550,100,NA,NA,10939,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorophytum,pterocarpum,Chlorophytum pterocarpum,Asparagaceae,correct,CR,confident,1400-1500,1400,1500,1450,100,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysojasminum,stans,Chrysojasminum stans,Oleaceae,correct,VU,confident,2400-3200,2400,3200,2800,800,NA,NA,10624,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cibirhiza,spiculata,Cibirhiza spiculata,Apocynaceae,correct,EN,confident,477-570,477,570,523.5,93,NA,NA,15,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium,schimperi,Cirsium schimperi,Asteraceae,over,LC,confident,2000-3100,2000,3100,2550,1100,"AR, BA, GG, GJ, GD, SU",text,141573,text,148,text,yes,not present,present,present,present,present,present,not present,not present,not present,not present,present,not present,not present,not present,9,1
Cirsium,straminispinum,Cirsium straminispinum,Asteraceae,correct,EN,confident,1830-2750,1830,2750,2290,920,NA,NA,36,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirsium,dender,Cirsium dender,Asteraceae,over,LC,confident,2200-2750,2200,2750,2475,550,"IL, KF",text,85676,text,20,geocat (GBIF points),yes,not present,not present,not present,not present,not present,not present,not present,present,present,not present,not present,not present,not present,not present,2,1
Cirsium,englerianum,Cirsium englerianum,Asteraceae,over,LC,confident,1760-2300,1760,2300,2030,540,"AR, SD",text,90918,text,24,geocat (GBIF points),yes,not present,present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,2,1
Cladostigma,nigistiae,Cladostigma nigistiae,Convolvulaceae,correct,EN,confident,750-1440,750,1440,1095,690,NA,NA,1412,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clinopodium,paradoxum,Clinopodium paradoxum,Lamiaceae,over,LC,low_confidence,1350-3500,1350,3500,2425,2150,"AR, BA, GJ, GD, HA, IL, KF, SU, SD, TU, WG",text,346161,text,320,text,yes,not present,present,present,present,not present,present,present,present,present,present,present,present,present,not present,11,1
Coleus,garckeanus,Coleus garckeanus,Lamiaceae,over,LC,low_confidence,1750-2700,1750,2700,2225,950,"AR, BA, GD, GJ, KF, SU, SD",text,171344,text,124,text,yes,not present,present,present,present,not present,present,not present,not present,present,present,present,not present,not present,not present,7,1
Coleus,abyssinicus,Coleus abyssinicus,Lamiaceae,correct,LC,confident,1100-2700,1100,2700,1900,1600,NA,NA,309232,text,172,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleus,recurvata,Coleus recurvata,Lamiaceae,correct,VU,confident,1400-2000,1400,2000,1700,600,NA,NA,50566,text,26,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
