genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Commicarpus,macrothamnus,Commicarpus macrothamnus,Nyctaginaceae,correct,VU,confident,750-900,750,900,825,150,NA,NA,23,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commicarpus,leleensis,Commicarpus leleensis,Nyctaginaceae,correct,VU,confident,875,875,875,875,0,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commiphora,monoica,Commiphora monoica,Burseraceae,correct,CR,confident,1250-1400,1250,1400,1325,150,NA,NA,25.5,text,20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Convolvulus,bidrensis,Convolvulus bidrensis,Convolvulaceae,correct,CR,confident,1650-1750,1650,1750,1700,100,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis,achyrophoroides,Crepis achyrophoroides,Asteraceae,correct,EN,low_confidence,2120-3600,2120,3600,2860,1480,NA,NA,2131,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis,tenerrima,Crepis tenerrima,Asteraceae,correct,VU,low_confidence,2750-3100,2750,3100,2925,350,NA,NA,6663,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crepis,xylorrhiza,Crepis xylorrhiza,Asteraceae,correct,CR,confident,2817,2817,2817,2817,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crinipes,abyssinicus,Crinipes abyssinicus,Poaceae,under,VU,confident,2000-3200,2000,3200,2600,1200,"GD, GJ, SU, TU",text,96322,text,36,text,yes,not present,not present,not present,present,not present,present,not present,not present,not present,not present,present,present,not present,not present,4,0
Crotalaria,exaltata,Crotalaria exaltata,Fabaceae,over,LC,confident,3000-3400,3000,3400,3200,400,"BA, KF, SD, SU",text,8,geocat (RL points),8,geocat (RL points),yes,not present,not present,present,not present,not present,not present,not present,not present,present,present,present,not present,not present,not present,4,1
Crotalaria,fallax,Crotalaria fallax,Fabaceae,correct,EN,confident,1550-1800,1550,1800,1675,250,NA,NA,1610,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,jijigensis,Crotalaria jijigensis,Fabaceae,correct,EN,confident,1750-1875,1750,1875,1812.5,125,NA,NA,456,text,36,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,ruspoliana,Crotalaria ruspoliana,Fabaceae,correct,CR,low_confidence,1800,1800,1800,1800,0,NA,NA,6,text,6,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,sacculata,Crotalaria sacculata,Fabaceae,correct,CR,confident,1800-2100,1800,2100,1950,300,NA,NA,24,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,polhillii,Crotalaria polhillii,Fabaceae,correct,EN,confident,1500-1800,1500,1800,1650,300,NA,NA,96,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria,trifoliolata,Crotalaria trifoliolata,Fabaceae,under,EN,low_confidence,1700-2000,1700,2000,1850,300,BA,text,556.5,text,176,text,yes,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
Crotalaria,gillettii,Crotalaria gillettii,Fabaceae,over,NT,confident,1700-2800,1700,2800,2250,1100,"BA, IL, KF, SD, WG",text,88460,text,76,text,yes,not present,not present,present,not present,not present,not present,not present,present,present,present,not present,not present,present,not present,5,1
Crotalaria,rosenii,Crotalaria rosenii,Fabaceae,over,LC,low_confidence,1350-2800,1350,2800,2075,1450,"AR, BA, IL, KF, SU",mapped,205625,text,164,text,yes,not present,present,present,not present,not present,not present,not present,present,present,not present,present,not present,not present,not present,5,1
Crotalaria,awasensis,Crotalaria awasensis,Fabaceae,correct,CR,confident,1700,1700,1700,1700,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croton,elkerensis,Croton elkerensis,Euphorbiaceae,correct,VU,confident,1150-1250,1150,1250,1200,100,NA,NA,70,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cussonia,ostinii,Cussonia ostinii,Araliaceae,correct,VU,confident,1500-2100,1500,2100,1800,600,NA,NA,148532,geocat (RL points),80,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyanotis,polyrrhiza,Cyanotis polyrrhiza,Commelinaceae,under,VU,confident,1900-3800,1900,3800,2850,1900,"AR, BA, GD, GJ, HA, KF, SU",text,254835,text,64,text,yes,not present,present,present,present,not present,present,present,not present,present,not present,present,not present,not present,not present,7,0
Cycniopsis,humilis,Cycniopsis humilis,Orobanchaceae,correct,LC,low_confidence,1100-3300,1100,3300,2200,2200,NA,NA,142680,text,88,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum,balense,Cynanchum balense,Apocynaceae,correct,EN,confident,3260,3260,3260,3260,0,NA,NA,47,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynoglossum,densefoliatum,Cynoglossum densefoliatum,Boraginaceae,over,LC,confident,1150-3000,1150,3000,2075,1850,"BA, HA, GD, SU, SD",text,141524,text,106,text,yes,not present,not present,present,present,not present,not present,present,not present,not present,present,present,not present,not present,not present,5,1
Cyperus,bifolius,Cyperus bifolius,Cyperaceae,correct,CR,confident,1850-1900,1850,1900,1875,50,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus,boreohemisphaericus,Cyperus boreohemisphaericus,Cyperaceae,over,LC,confident,1100-2300,1100,2300,1700,1200,"KF, SU, WG",text,52510,text,48,text,yes,not present,not present,not present,not present,not present,not present,not present,not present,present,not present,present,not present,present,not present,3,1
Cyperus,clandestinus,Cyperus clandestinus,Cyperaceae,under,EN,confident,3000-3600,3000,3600,3300,600,"BA, GD, SU, SD",text,52127,text,20,text,yes,not present,not present,present,present,not present,not present,not present,not present,not present,present,present,not present,not present,not present,4,0
Cyperus,pratensis,Cyperus pratensis,Cyperaceae,under,CR,confident,1550-2600,1550,2600,2075,1050,"GD, SU",text,8,geocat (GBIF points),8,text,no,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,2,0
Cyphostemma,burgeri,Cyphostemma burgeri,Vitaceae,correct,EN,confident,1500-1800,1500,1800,1650,300,NA,NA,1628,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystostemon,ethiopicus,Cystostemon ethiopicus,Boraginaceae,correct,VU,confident,1500-1650,1500,1650,1575,150,NA,NA,5417,text,36,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicoma,aethiopica,Dicoma aethiopica,Asteraceae,correct,EN,confident,1400-1500,1400,1500,1450,100,NA,NA,1668,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplolophium,boranense,Diplolophium boranense,Apiaceae,correct,CR,confident,1575,1575,1575,1575,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Disa,facula,Disa facula,Orchidaceae,correct,EN,confident,1430-1810,1430,1810,1620,380,NA,NA,1883,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Disperis,meirax,Disperis meirax,Orchidaceae,correct,EN,confident,2500-3800,2500,3800,3150,1300,NA,NA,22520,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Disperis,galerita,Disperis galerita,Orchidaceae,correct,VU,confident,2000-3800,2000,3800,2900,1800,NA,NA,104044,text,40,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Disperis,crassicaulis,Disperis crassicaulis,Orchidaceae,correct,VU,confident,2000-2500,2000,2500,2250,500,NA,NA,171852,text,36,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dombeya,aethiopica,Dombeya aethiopica,Malvaceae,over,LC,confident,1700-2200,1700,2200,1950,500,"GJ, GG, KF, SD, SU",text,63867,geocat (RL points),52,geocat (RL points),yes,not present,not present,not present,not present,present,present,not present,not present,present,present,present,not present,not present,not present,10,1
Dombeya,longebracteolata,Dombeya longebracteolata,Malvaceae,correct,VU,confident,1900,1900,1900,1900,0,NA,NA,18552,geocat (RL points),20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dombeya,kefaensis,Dombeya kefaensis,Malvaceae,correct,VU,confident,1700-2200,1700,2200,1950,500,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorstenia,soerensenii,Dorstenia soerensenii,Moraceae,correct,EN,confident,1750-2250,1750,2250,2000,500,NA,NA,4761,text,64,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drimia,exigua,Drimia exigua,Asparagaceae,correct,EN,confident,1400-1600,1400,1600,1500,200,NA,NA,4372,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drimia,simensis,Drimia simensis,Asparagaceae,under,EN,low_confidence,2880-3270,2880,3270,3075,390,"GD, SU",text,4870,text,12,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,2,0
Echidnopsis,montana,Echidnopsis montana,Apocynaceae,correct,VU,confident,1300-2000,1300,2000,1650,700,NA,NA,18438.5,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops,kebericho,Echinops kebericho,Asteraceae,over,NT,confident,2300-2600,2300,2600,2450,300,"GJ, SU, TU",text,82182,text,68,text,no,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,present,present,not present,not present,3,1
Echinops,buhaitensis,Echinops buhaitensis,Asteraceae,correct,EN,confident,3350-3800,3350,3800,3575,450,NA,NA,12,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops,longisetus,Echinops longisetus,Asteraceae,correct,LC,low_confidence,2000-3800,2000,3800,2900,1800,NA,NA,247730,text,180,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops,ellenbeckii,Echinops ellenbeckii,Asteraceae,correct,VU,confident,2200-2950,2200,2950,2575,750,NA,NA,127963,text,116,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emilia,adamagibaensis,Emilia adamagibaensis,Asteraceae,correct,EN,confident,1850,1850,1850,1850,0,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emilia,negellensis,Emilia negellensis,Asteraceae,correct,EN,confident,1580-1620,1580,1620,1600,40,NA,NA,150,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emilia,herbacea,Emilia herbacea,Asteraceae,over,LC,confident,1000-1950,1000,1950,1475,950,"BA, GG, HA, KF",text,111033,text,84,geocat (RL points),no,not present,not present,present,not present,present,not present,present,not present,present,not present,not present,not present,not present,not present,4,1
Emilia,serpentina,Emilia serpentina,Asteraceae,over,LC,confident,1350-2650,1350,2650,2000,1300,"HA, IL, SU, WG, WU",mapped,235150,text,128,text,yes,not present,not present,not present,not present,not present,not present,present,present,not present,not present,present,not present,present,present,5,1
Emilia,arvensis,Emilia arvensis,Asteraceae,over,LC,confident,2550-3050,2550,3050,2800,500,"HA, GG, SU",mapped,49897,text,3770,text,yes,not present,not present,not present,not present,present,not present,present,not present,not present,not present,present,not present,not present,not present,3,1
Endostemon,glandulosus,Endostemon glandulosus,Lamiaceae,correct,EN,confident,1630-1710,1630,1710,1670,80,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equilabium,spananthum,Equilabium spananthum,Lamiaceae,correct,VU,confident,1150-1250,1150,1250,1200,100,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eragrostis,astrepta,Eragrostis astrepta,Poaceae,correct,EN,confident,1490-1600,1490,1600,1545,110,NA,NA,5794,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eriocaulon,aethiopicum,Eriocaulon aethiopicum,Eriocaulaceae,correct,VU,confident,2400,2400,2400,2400,0,NA,NA,4,infer,4,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina,brucei,Erythrina brucei,Fabaceae,correct,LC,low_confidence,1400-2600,1400,2600,2000,1200,NA,NA,254893,geocat (RL points),116,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrina,burana,Erythrina burana,Fabaceae,over,LC,low_confidence,1350-2100,1350,2100,1725,750,HA,text,7553,geocat (RL points),80,geocat (RL points),yes,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,1,1
Erythrococca,uniflora,Erythrococca uniflora,Euphorbiaceae,correct,EN,confident,950-1325,950,1325,1137.5,375,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrophysa,septentrionalis,Erythrophysa septentrionalis,Sapindaceae,correct,EN,confident,600-800,600,800,700,200,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulophia,albobrunnea,Eulophia albobrunnea,Orchidaceae,correct,VU,confident,1650-2500,1650,2500,2075,850,NA,NA,91445,text,60,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,baleensis,Euphorbia baleensis,Euphorbiaceae,correct,EN,confident,1150-1450,1150,1450,1300,300,NA,NA,46.5,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,bitataensis,Euphorbia bitataensis,Euphorbiaceae,correct,EN,confident,1500-1600,1500,1600,1550,100,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,cryptocaulis,Euphorbia cryptocaulis,Euphorbiaceae,correct,EN,confident,1350-1600,1350,1600,1475,250,NA,NA,1147,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,dalettiensis,Euphorbia dalettiensis,Euphorbiaceae,correct,VU,confident,1200,1200,1200,1200,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,fissispina,Euphorbia fissispina,Euphorbiaceae,correct,EN,confident,350-750,350,750,550,400,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,gymnocalycioides,Euphorbia gymnocalycioides,Euphorbiaceae,correct,EN,confident,1300-1350,1300,1350,1325,50,NA,NA,383,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,makallensis,Euphorbia makallensis,Euphorbiaceae,correct,VU,confident,2260-2385,2260,2385,2322.5,125,NA,NA,42,text,10,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,michaelii,Euphorbia michaelii,Euphorbiaceae,correct,VU,confident,550-600,550,600,575,50,NA,NA,16,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,omariana,Euphorbia omariana,Euphorbiaceae,correct,EN,confident,1225-1550,1225,1550,1387.5,325,NA,NA,1100,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,piscidermis,Euphorbia piscidermis,Euphorbiaceae,correct,VU,confident,1000-1050,1000,1050,1025,50,NA,NA,27,text,6,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,rubella,Euphorbia rubella,Euphorbiaceae,correct,EN,low_confidence,1850-2200,1850,2200,2025,350,NA,NA,20,text,20,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,betulicortex,Euphorbia betulicortex,Euphorbiaceae,correct,CR,confident,900,900,900,900,0,NA,NA,4,geocat (RL points),4,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,burgeri,Euphorbia burgeri,Euphorbiaceae,correct,CR,confident,1200-1550,1200,1550,1375,350,NA,NA,55,text,24,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,doloensis,Euphorbia doloensis,Euphorbiaceae,correct,VU,confident,400,400,400,400,0,NA,NA,4,geocat (RL points),4,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,ogadenensis,Euphorbia ogadenensis,Euphorbiaceae,correct,EN,confident,305-457,381,457,419,76,NA,NA,2550,text,8,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,piceoides,Euphorbia piceoides,Euphorbiaceae,correct,CR,confident,320,320,320,320,0,NA,NA,4,geocat (RL points),4,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,uniglans,Euphorbia uniglans,Euphorbiaceae,correct,EN,confident,1400-1450,1400,1450,1425,50,NA,NA,75,text,20,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,furcatifolia,Euphorbia furcatifolia,Euphorbiaceae,correct,EN,confident,1600,1600,1600,1600,0,NA,NA,46,text,16,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,kabridarensis,Euphorbia kabridarensis,Euphorbiaceae,correct,CR,confident,900,900,900,900,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,sareciana,Euphorbia sareciana,Euphorbiaceae,correct,VU,confident,1500,1500,1500,1500,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,repetita,Euphorbia repetita,Euphorbiaceae,under,VU,confident,2160-2700,2160,2700,2430,540,"AR, GD, SU, TU, WU",text,74000,text,24,text,yes,not present,present,not present,present,not present,not present,not present,not present,not present,not present,present,present,not present,present,5,0
Euphorbia,awashensis,Euphorbia awashensis,Euphorbiaceae,correct,CR,confident,1000,1000,1000,1000,0,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,dumalis,Euphorbia dumalis,Euphorbiaceae,over,LC,confident,2400-3600,2400,3600,3000,1200,"AR, BA, KF, SD, SU, WU",text,106391,text,108,text,yes,not present,present,present,not present,not present,not present,not present,not present,present,present,present,not present,not present,present,6,1
Euphorbia,monacantha,Euphorbia monacantha,Euphorbiaceae,correct,VU,confident,1200-1800,1200,1800,1500,600,NA,NA,58333,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,nigrispinoides,Euphorbia nigrispinoides,Euphorbiaceae,correct,EN,confident,1000-1700,1000,1700,1350,700,NA,NA,18,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euphorbia,suborbicularis,Euphorbia suborbicularis,Euphorbiaceae,correct,CR,confident,300-550,300,550,425,250,NA,NA,38,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryops,prostratus,Euryops prostratus,Asteraceae,correct,VU,confident,3530-4300,3530,4300,3915,770,NA,NA,728,text,52,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryops,antinorii,Euryops antinorii,Asteraceae,over,NT,confident,2775-3600,2775,3600,3187.5,825,"AR, BA, SU",mapped,10107,text,24,text,yes,not present,present,present,not present,not present,not present,not present,not present,not present,not present,present,not present,not present,not present,3,1
Farsetia,ellenbeckii,Farsetia ellenbeckii,Brassicaceae,correct,EN,confident,800-1500,800,1500,1150,700,NA,NA,1978,text,18,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca,macrophylla,Festuca macrophylla,Poaceae,under,VU,confident,3000-4100,3000,4100,3550,1100,"AR, GD, GJ, SU, WU",text,58931,text,50,text,yes,not present,present,not present,present,not present,present,not present,not present,not present,not present,present,not present,not present,present,5,0
Festuca,gilbertiana,Festuca gilbertiana,Poaceae,correct,EN,confident,3240,3240,3240,3240,0,NA,NA,13522.5,text,258,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficinia,borealis,Ficinia borealis,Cyperaceae,correct,CR,confident,2200-3000,2200,3000,2600,800,NA,NA,4,infer,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galega,somalensis,Galega somalensis,Fabaceae,correct,EN,low_confidence,1600,1600,1600,1600,0,NA,NA,8,text,8,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galium,boreoaethiopicum,Galium boreoaethiopicum,Rubiaceae,correct,EN,confident,2200-2800,2200,2800,2500,600,NA,NA,37442,text,264,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus,lithicola,Gladiolus lithicola,Iridaceae,correct,EN,confident,2100-2750,2100,2750,2425,650,NA,NA,39.5,text,30,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus,negeliensis,Gladiolus negeliensis,Iridaceae,correct,EN,confident,1500-1700,1500,1700,1600,200,NA,NA,45,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus,balensis,Gladiolus balensis,Iridaceae,correct,EN,confident,1750-2420,1750,2420,2085,670,NA,NA,480,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus,calcicola,Gladiolus calcicola,Iridaceae,correct,EN,confident,1320-2200,1320,2200,1760,880,NA,NA,2707,text,18,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gladiolus,longispathaceus,Gladiolus longispathaceus,Iridaceae,correct,VU,confident,2400-3000,2400,3000,2700,600,NA,NA,6410,text,24,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gnidia,elkerensis,Gnidia elkerensis,Thymelaeaceae,correct,VU,confident,1150-1250,1150,1250,1200,100,NA,NA,300,text,77,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnosporia,addat,Gymnosporia addat,Celastraceae,correct,VU,confident,2200-3000,2200,3000,2600,800,NA,NA,59666,geocat (RL points),76,geocat (RL points),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnosporia,harenensis,Gymnosporia harenensis,Celastraceae,correct,EN,confident,1600-3050,1600,3050,2325,1450,NA,NA,54,geocat (RL points),36,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
